"Country","Continent","Year","X0_19","X20_44","X45_64","X65_100","Total"
"Vanuatu","OCEANIA",2040,155456,151394,76803,31428,415081
"Vanuatu","OCEANIA",2060,169424,184740,112495,62956,529615
"Vanuatu","OCEANIA",2080,169435,204995,141145,103415,618990
"Vanuatu","OCEANIA",2100,160799,208357,160003,145517,674676
"Tonga","OCEANIA",2020,50631,36834,17026,6546,111037
"Tonga","OCEANIA",2040,51711,48535,19878,11782,131906
"Tonga","OCEANIA",2060,48466,50410,31332,16024,146232
"Tonga","OCEANIA",2080,45355,51050,33089,27034,156528
"Tonga","OCEANIA",2100,38938,49217,36180,33877,158212
"Solomon Islands","OCEANIA",2020,313640,226248,83999,23410,647297
"Solomon Islands","OCEANIA",2040,362235,341149,143853,57836,905073
"Solomon Islands","OCEANIA",2060,387284,410602,239648,112301,1149835
"Solomon Islands","OCEANIA",2080,382011,455187,299277,209294,1345769
"Solomon Islands","OCEANIA",2100,353902,458610,345782,299583,1457877
"Samoa","OCEANIA",2020,92665,62546,32690,12216,200117
"Samoa","OCEANIA",2040,90442,81542,33323,24619,229926
"Samoa","OCEANIA",2060,83998,84208,53227,31452,252885
"Samoa","OCEANIA",2080,75750,84589,55883,52787,269009
"Samoa","OCEANIA",2100,62258,78675,60987,66160,268080
"Papua New Guinea","OCEANIA",2020,3956004,3211432,1233482,354757,8755675
"Papua New Guinea","OCEANIA",2040,4744975,4636293,2114280,728754,12224302
"Papua New Guinea","OCEANIA",2060,5184733,5663799,3217914,1300445,15366891
"Papua New Guinea","OCEANIA",2080,5255498,6299845,4039094,2091195,17685632
"Papua New Guinea","OCEANIA",2100,5003469,6467079,4624093,2864802,18959443
"New Zealand","OCEANIA",2020,1251773,1568829,1224082,789736,4834420
"New Zealand","OCEANIA",2040,1274086,1687367,1269366,1271353,5502172
"New Zealand","OCEANIA",2060,1264156,1715712,1386281,1497370,5863519
"New Zealand","OCEANIA",2080,1233144,1680279,1417947,1756793,6088163
"New Zealand","OCEANIA",2100,1195470,1623593,1381856,1929911,6130830
"New Caledonia","OCEANIA",2020,83877,102532,70641,29863,286913
"New Caledonia","OCEANIA",2040,89259,119480,82403,60522,351664
"New Caledonia","OCEANIA",2060,90369,125911,98346,83987,398613
"New Caledonia","OCEANIA",2080,90062,124752,104263,108671,427748
"New Caledonia","OCEANIA",2100,88362,121824,102530,125814,438530
"Micronesia (Fed. States of)","OCEANIA",2020,46685,42197,12965,5927,107774
"Micronesia (Fed. States of)","OCEANIA",2040,46021,47528,23731,7214,124494
"Micronesia (Fed. States of)","OCEANIA",2060,38025,46713,30322,15534,130594
"Micronesia (Fed. States of)","OCEANIA",2080,30891,39679,31865,20695,123130
"Micronesia (Fed. States of)","OCEANIA",2100,25491,33714,27248,24176,110629
"Kiribati","OCEANIA",2020,54027,44569,18698,5145,122439
"Kiribati","OCEANIA",2040,61531,58279,28453,11032,159295
"Kiribati","OCEANIA",2060,68715,69164,38898,18512,195289
"Kiribati","OCEANIA",2080,68544,78596,49071,27486,223697
"Kiribati","OCEANIA",2100,66206,81159,58000,37760,243125
"Guam","OCEANIA",2020,53990,58538,38369,17830,168727
"Guam","OCEANIA",2040,50786,63324,40879,34167,189156
"Guam","OCEANIA",2060,43791,59150,47189,43235,193365
"Guam","OCEANIA",2080,38021,51832,45015,54191,189059
"Guam","OCEANIA",2100,33264,45619,39804,58023,176710
"French Polynesia","OCEANIA",2020,87595,108642,69003,25504,290744
"French Polynesia","OCEANIA",2040,77206,106270,79671,56689,319836
"French Polynesia","OCEANIA",2060,68372,96347,82319,78402,325440
"French Polynesia","OCEANIA",2080,60591,85213,76201,91307,313312
"French Polynesia","OCEANIA",2100,54317,75474,68063,94132,291986
"Fiji","OCEANIA",2020,337013,341320,183150,63432,924915
"Fiji","OCEANIA",2040,303394,355350,223896,112161,994801
"Fiji","OCEANIA",2060,259264,329466,238520,158014,985264
"Fiji","OCEANIA",2080,215154,286964,230074,195500,927692
"Fiji","OCEANIA",2100,179801,242212,208435,216006,846454
"Australia","OCEANIA",2020,6408435,8657661,6199895,4132186,25398177
"Australia","OCEANIA",2040,7194571,9671173,7378276,6520621,30764641
"Australia","OCEANIA",2060,8021483,10807307,8025484,8550183,35404457
"Australia","OCEANIA",2080,8358500,11390871,9043337,10273776,39066484
"Australia","OCEANIA",2100,8565491,11544388,9418283,12306424,41834586
